(14811, 1425, -2608, -6344) (467, 532, 1550)
(14788, 1226, -2550, -6460) (379, 623, 1813)
(14766, 971, -2478, -6581) (340, 332, 2100)
(14751, 820, -2501, -6626) (608, -5, 1967)
(14733, 800, -2606, -6629) (707, 221, 1774)
(14700, 795, -2724, -6654) (676, 468, 1599)
(14660, 756, -2801, -6716) (639, 647, 1552)
(14638, 634, -2815, -6769) (584, 590, 1510)
(14621, 477, -2799, -6825) (617, 487, 1704)
(14608, 322, -2774, -6872) (581, 369, 1802)
(14601, 217, -2763, -6895) (575, 148, 1862)
(14596, 203, -2791, -6896) (581, 182, 1807)
(14592, 245, -2838, -6883) (565, 380, 1699)
(14590, 284, -2881, -6870) (572, 493, 1735)
(14588, 280, -2903, -6865) (563, 454, 1714)
(14586, 250, -2916, -6865) (580, 395, 1786)
(14583, 204, -2924, -6868) (577, 335, 1816)
(14581, 171, -2942, -6866) (608, 238, 1800)
(14577, 172, -2977, -6860) (645, 265, 1762)
(14571, 190, -3009, -6858) (612, 357, 1710)
(14564, 190, -3030, -6863) (600, 358, 1750)
(14557, 173, -3045, -6871) (611, 344, 1813)
pose Pose.FIST
(14550, 145, -3057, -6881) (620, 335, 1840)
(14543, 127, -3075, -6890) (653, 298, 1795)
(14536, 120, -3093, -6895) (649, 318, 1796)
(14531, 125, -3111, -6899) (648, 327, 1738)
(14526, 124, -3119, -6906) (629, 369, 1779)
(14521, 107, -3121, -6916) (659, 335, 1801)
(14515, 91, -3123, -6927) (677, 317, 1802)
(14510, 84, -3126, -6935) (685, 297, 1751)
(14507, 82, -3128, -6943) (669, 326, 1780)
(14503, 76, -3124, -6951) (663, 331, 1762)
(14500, 65, -3118, -6962) (673, 329, 1771)
(14497, 55, -3114, -6970) (669, 313, 1764)
(14493, 47, -3111, -6979) (677, 309, 1763)
(14489, 41, -3109, -6988) (679, 332, 1743)
(14485, 30, -3106, -6998) (683, 333, 1733)
(14481, 13, -3104, -7007) (684, 306, 1752)
(14478, 3, -3105, -7013) (680, 323, 1754)
(14475, -6, -3106, -7019) (686, 295, 1707)
(14473, -4, -3111, -7021) (689, 305, 1689)
(14470, -4, -3114, -7025) (671, 341, 1713)
(14467, -10, -3111, -7032) (668, 350, 1738)
(14465, -19, -3109, -7038) (677, 357, 1765)
(14463, -27, -3108, -7043) (677, 342, 1725)
(14462, -36, -3105, -7046) (660, 307, 1754)
(14462, -33, -3104, -7046) (666, 286, 1710)
(14462, -23, -3097, -7048) (626, 332, 1721)
(14464, -21, -3085, -7050) (620, 338, 1766)
(14466, -23, -3074, -7050) (640, 320, 1771)
(14468, -19, -3064, -7050) (635, 336, 1744)
(14471, -17, -3050, -7051) (636, 318, 1749)
